severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,512,javascript:S6774,'card.tone' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDl
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,512,javascript:S6774,'card.tone' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDm
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,514,javascript:S6774,'card.value' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDn
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,515,javascript:S6774,'card.detail' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDo
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,520,javascript:S6774,'children' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDp
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,524,javascript:S3776,Refactor this function to reduce its Cognitive Complexity from 34 to the 15 allowed.,24min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDq
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,525,javascript:S6774,'alerts' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDr
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,526,javascript:S6774,'userRole' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDs
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,527,javascript:S6774,'currentUsername' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDt
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,528,javascript:S6774,'onNavigate' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDu
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,711,javascript:S6819,"Use <output> instead of the ""status"" role to ensure accessibility across all devices.",5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDv
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,787,javascript:S3358,Extract this nested ternary operation into an independent statement.,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDw
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,815,javascript:S3358,Extract this nested ternary operation into an independent statement.,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDx
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,896,javascript:S3358,Extract this nested ternary operation into an independent statement.,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDy
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,964,javascript:S6774,'count' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVD0
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,964,javascript:S6774,'items' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVD1
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,964,javascript:S6774,'field' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVD2
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,964,javascript:S6774,'label' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDz
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,971,javascript:S6774,'items.length' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVD3
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,974,javascript:S6774,'items.slice' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVD4
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.test.js,339,javascript:S7764,Prefer `globalThis` over `window`.,2min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcFqro12fno-dVD5
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.test.js,344,javascript:S7764,Prefer `globalThis` over `window`.,2min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcFqro12fno-dVD6
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.test.js,351,javascript:S7764,Prefer `globalThis` over `window`.,2min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcFqro12fno-dVD7
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:integrations/webhook_adapter.py,79,python:S3776,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,10min,2026-05-18T14:09:22+0000,2026-05-18T14:09:22+0000,AZ47df1W3zvopZWNpsJU
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:integrations/webhook_adapter.py,85,python:S8513,"Replace chained ""endswith"" calls with a single call using a tuple argument.",5min,2026-05-18T14:09:22+0000,2026-05-18T14:09:22+0000,AZ47df1W3zvopZWNpsJV
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:integrations/webhook_adapter.py,102,python:S8513,"Replace chained ""startswith"" calls with a single call using a tuple argument.",5min,2026-05-18T14:09:22+0000,2026-05-18T14:09:22+0000,AZ47df1W3zvopZWNpsJW
