severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1063,javascript:S6774,'attempt.provider' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmym
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1063,javascript:S6774,'attempt.mode' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyn
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1066,javascript:S6774,'attempt.status' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyo
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1070,javascript:S6774,'attempt.correlation_id' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyp
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1071,javascript:S6774,'attempt.adapter_name' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyq
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1072,javascript:S6774,'attempt.action' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyr
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1075,javascript:S6774,'attempt.circuit_breaker_state' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmys
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1079,javascript:S6774,'attempt.timeout_seconds' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyt
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1081,javascript:S6774,'attempt.requested_at' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyu
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1082,javascript:S6774,'attempt.started_at' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyv
